player_id,teams,unlisted_teams
003dbe99,"['Lincolnshire', 'Nottinghamshire', 'Nottinghamshire 2nd XI']","['Lincolnshire', 'Nottinghamshire 2nd XI']"
003e7738,"['Sylhet Division', 'Sylhet Royals', 'Kalabagan Cricket Academy']","['Sylhet Division', 'Kalabagan Cricket Academy']"
004c9e85,"['South Australia', 'East Torrens', 'Western Suburbs', 'Hampshire', 'Middlesex', 'New South Wales', 'Australia', 'Worcestershire', 'Mumbai Indians']","['East Torrens', 'Western Suburbs']"
00547789,"['West Indies', 'Trinidad & Tobago', 'Trinbago Knight Riders']",['Trinidad & Tobago']
00741bc7,"['Boland', 'KwaZulu-Natal', 'Cape Cobras']",['KwaZulu-Natal']
00784913,"['Karnataka', 'North West Warriors', 'Rest of India']","['North West Warriors', 'Rest of India']"
00b195ae,"['Lancashire', 'England', 'Manchester Originals (Men)', 'Lancashire 2nd XI']","['Manchester Originals (Men)', 'Lancashire 2nd XI']"
00cada13,"['Nottinghamshire', 'Nottinghamshire 2nd XI']",['Nottinghamshire 2nd XI']
00cda8e4,"['Melbourne Stars', 'Victoria Second XI']",['Victoria Second XI']
00ea9791,"['Sri Lanka', 'Nondescripts Cricket Club']",['Nondescripts Cricket Club']
011f6b42,"['Uganda', 'Rwenzori Warriors']",['Rwenzori Warriors']
0126ff20,"['Worcestershire', 'Cheshire', 'Lancashire 2nd XI']","['Cheshire', 'Lancashire 2nd XI']"
012829ff,"['New South Wales Second XI', 'Kochi Tuskers Kerala', 'Victoria', 'New South Wales', 'Australia', 'Chennai Super Kings', 'Melbourne Stars', 'Kolkata Knight Riders', 'Durham', 'Quetta Gladiators']",['New South Wales Second XI']
01549705,['Northerns'],['Northerns']
01561e94,['Middlesex 2nd XI'],['Middlesex 2nd XI']
016188b4,"['Sydney Thunder', 'New South Wales XI']",['New South Wales XI']
0162e9c5,"['England', 'Worcestershire 2nd XI', 'Worcestershire', 'Herefordshire', 'Worcestershire Academy']","['Worcestershire 2nd XI', 'Herefordshire', 'Worcestershire Academy']"
