team_a,team_b,avg_batting_a,avg_batting_b,avg_wickets_a,avg_wickets_b,match_date,match_type,winner,winner_a,winner_b,draws
Munster Reds,Northern Knights,nan,nan,nan,nan,2022-05-05,ODM,Munster Reds,0,0,0
Munster Reds,Northern Knights,nan,nan,nan,nan,2022-05-05,ODM,Munster Reds,0,0,0
Lancashire,Warwickshire,nan,nan,nan,nan,2022-05-05,MDM,draw,0,0,0
Middlesex,Sussex,nan,nan,nan,nan,2022-05-05,MDM,Middlesex,0,0,0
Middlesex,Sussex,nan,nan,nan,nan,2022-05-05,MDM,Middlesex,0,0,0
Northamptonshire,Surrey,nan,nan,nan,nan,2022-05-05,MDM,Surrey,0,0,0
Middlesex,Sussex,nan,nan,nan,nan,2022-05-05,MDM,Middlesex,0,0,0
Middlesex,Sussex,nan,nan,nan,nan,2022-05-05,MDM,Middlesex,0,0,0
Durham,Worcestershire,nan,nan,nan,nan,2022-05-05,MDM,draw,0,0,0
Durham,Worcestershire,nan,nan,nan,nan,2022-05-05,MDM,draw,0,0,0
Lancashire,Warwickshire,nan,nan,nan,nan,2022-05-05,MDM,draw,0,0,0
Sapphires,Tornadoes,nan,nan,nan,nan,2022-05-05,T20,Tornadoes,0,0,0
Lancashire,Warwickshire,nan,nan,nan,nan,2022-05-05,MDM,draw,0,0,0
Sapphires,Tornadoes,nan,nan,nan,nan,2022-05-05,T20,Tornadoes,0,0,0
Durham,Worcestershire,nan,nan,nan,nan,2022-05-05,MDM,draw,0,0,0
Northamptonshire,Surrey,nan,nan,nan,nan,2022-05-05,MDM,Surrey,0,0,0
Durham,Worcestershire,nan,nan,nan,nan,2022-05-05,MDM,draw,0,0,0
Gujarat Titans,Mumbai Indians,nan,nan,nan,nan,2022-05-06,T20,Mumbai Indians,0,0,0
Gujarat Titans,Mumbai Indians,nan,nan,nan,nan,2022-05-06,T20,Mumbai Indians,0,0,0
Tornadoes,Warriors (FairBreak),nan,nan,nan,nan,2022-05-06,T20,Tornadoes,0,0,0
Barmy Army,Falcons,nan,nan,nan,nan,2022-05-06,T20,Falcons,0,0,0
Tornadoes,Warriors (FairBreak),nan,nan,nan,nan,2022-05-06,T20,Tornadoes,0,0,0
Barmy Army,Falcons,nan,nan,nan,nan,2022-05-06,T20,Falcons,0,0,0
Punjab Kings,Rajasthan Royals,nan,nan,nan,nan,2022-05-07,T20,Rajasthan Royals,0,0,0
Denmark,Finland,nan,nan,nan,nan,2022-05-07,T20,Finland,0,0,0
Kolkata Knight Riders,Lucknow Super Giants,nan,nan,nan,nan,2022-05-07,T20,Lucknow Super Giants,0,0,0
Sapphires,Warriors (FairBreak),nan,nan,nan,nan,2022-05-07,T20,Sapphires,0,0,0
Falcons,Spirit,nan,nan,nan,nan,2022-05-07,T20,Spirit,0,0,0
Denmark,Finland,nan,nan,nan,nan,2022-05-07,T20,Finland,0,0,0
Falcons,Spirit,nan,nan,nan,nan,2022-05-07,T20,Spirit,0,0,0
Denmark,Finland,nan,nan,nan,nan,2022-05-07,T20,Denmark,0,0,0
Denmark,Finland,nan,nan,nan,nan,2022-05-07,T20,Denmark,0,0,0
Punjab Kings,Rajasthan Royals,nan,nan,nan,nan,2022-05-07,T20,Rajasthan Royals,0,0,0
Kolkata Knight Riders,Lucknow Super Giants,nan,nan,nan,nan,2022-05-07,T20,Lucknow Super Giants,0,0,0
Sapphires,Warriors (FairBreak),nan,nan,nan,nan,2022-05-07,T20,Sapphires,0,0,0
Sapphires,Spirit,nan,nan,nan,nan,2022-05-08,T20,Spirit,0,0,0
