player_id,teams
00015688,['Sierra Leone Women cricket']
00029c30,['Malawi cricket']
0019ca13,['South Korea cricket']
0030a57d,['Vanuatu Women cricket']
00321fff,"['Hong Kong Under-19s cricket', 'Hong Kong cricket']"
00335246,['Tripura cricket']
003d49e6,"['Brisbane Heat cricket', 'Hobart Hurricanes cricket', 'Adelaide Strikers cricket', 'Queensland Under-19s cricket', 'Australia Under-19s cricket', 'Queensland Under-17s cricket']"
003dbe99,"['Nottinghamshire Under-17s cricket', 'Lincolnshire cricket', 'Nottinghamshire Under-15s cricket', 'Nottinghamshire 2nd XI cricket', 'Nottinghamshire Under-13s cricket', 'Nottinghamshire Under-14s cricket']"
003e7738,"['Sylhet Royals cricket', 'Kalabagan Cricket Academy cricket', 'Sylhet Division cricket']"
003fe1d7,['Haryana cricket']
00467a76,['Gibraltar cricket']
004c9e85,"['Hampshire cricket', 'Worcestershire cricket', 'Middlesex cricket', 'Australia A cricket', 'Australia cricket', 'New South Wales Under-19s cricket', 'East Torrens cricket', 'Australia Under-19s cricket', 'New South Wales cricket', 'South Australia cricket', 'Western Suburbs cricket', 'Mumbai Indians cricket']"
00547789,"['Trinbago Knight Riders Women cricket', 'Trinidad & Tobago Women cricket', 'West Indies A Women cricket']"
005f0561,['Bangladesh Women cricket']
007113d7,"['Denmark Under-13s cricket', 'Denmark Under-19s cricket', 'Denmark cricket', 'Denmark Under-15s cricket', 'Denmark Under-17s cricket']"
00741bc7,"['Cape Cobras cricket', 'KwaZulu-Natal cricket', 'Boland cricket']"
00755e00,['Fiji cricket']
00757ae7,['Thailand Under-19s cricket']
0075a47b,['Essex Women cricket']
0077eaa3,"['Jamaica Tallawahs cricket', 'St Lucia Zouks cricket', 'Windward Islands Under-19s cricket']"
00784913,"['North West Warriors cricket', 'Rest of India cricket', 'Karnataka cricket']"
0079f139,"['Singapore Under-19s cricket', 'Singapore Under-15s cricket', 'Singapore Under-17s cricket', 'Singapore cricket']"
007a3773,['Indonesia Women cricket']
007f121f,['Jersey Women cricket']
00823a96,"['Loughborough Lightning cricket', 'Lightning cricket', 'Trent Rockets (Women) cricket', 'Scotland Women cricket', 'Birmingham Phoenix (Women) cricket', 'England Women cricket']"
00852db7,['Uttarakhand cricket']
008589a4,['Scotland cricket']
0085a7ce,"['New Zealand Under-19s cricket', 'Central Districts cricket']"
00863408,"['Central Districts Under-17s cricket', 'Central Districts cricket', 'Cook Islands cricket', 'Central Districts Under-19s cricket']"
008a024c,[]
0095a0e3,['Samoa cricket']
0095ce38,"['Western Australia cricket', 'Adelaide Strikers cricket', 'Western Australia Under-23s cricket', 'Perth Scorchers cricket', 'New South Wales cricket']"
00b195ae,"['Lancashire cricket', 'Manchester Originals (Men) cricket', 'England Under-19s cricket', 'Lancashire 2nd XI cricket']"
00b8db02,['United Arab Emirates A cricket']
00bcd434,['Uttarakhand cricket']
00be46fe,['Norway Women cricket']
00c98c78,['Bahamas cricket']
00cada13,"['Nottinghamshire cricket', 'Nottinghamshire 2nd XI cricket']"
00cc480b,['Gibraltar Women cricket']
00cda8e4,"['Victoria Second XI cricket', 'Melbourne Stars cricket']"
00cff9ba,"['Gujarat Giants Women cricket', 'Baroda Women cricket']"
00d1544c,['Gibraltar Women cricket']
00d69fa4,"['Africa XI cricket', 'Swamibapa Sports Club cricket', 'Rwenzori Warriors cricket', 'Kenya cricket', ""University of West Indies Vice Chancellor's XI cricket"", 'Border cricket', 'Southern Rocks cricket']"
00ea847a,"['Royal Challengers Bangalore cricket', 'Chemplast cricket', 'South Zone cricket', 'Madras Cricket Club cricket', 'Shamanoor Davangere Diamonds cricket', 'Bengaluru Blasters cricket', 'India A cricket', 'India B cricket', 'Belagavi Panthers cricket', 'Sunrisers Hyderabad cricket', 'India Under-19s cricket', 'Karnataka State Cricket Association Colts XI cricket', 'Bellary Tuskers cricket', 'India Blue cricket', 'India Red cricket', 'Rest of India cricket', 'Karnataka Under-19s cricket', 'India cricket', ""Indian Board President's XI cricket"", 'Kings XI Punjab cricket', 'India C cricket', 'Rising Pune Supergiant cricket', 'Karnataka cricket', 'Delhi Daredevils cricket']"
00ea9791,"['Nondescripts Cricket Club cricket', 'Sri Lanka cricket']"
00eefafc,['Bangladesh Women cricket']
010658fc,['Croatia cricket']
01127aa9,['Cayman Islands cricket']
011533e5,['Thunder cricket']
011b7b59,['Japan cricket']
011f6b42,"['Uganda Under-19s cricket', 'Rwenzori Warriors cricket', 'Uganda cricket']"
0126ff20,"['Cheshire cricket', 'Worcestershire cricket', 'Lancashire 2nd XI cricket']"
012829ff,"['Kolkata Knight Riders cricket', 'Chennai Super Kings cricket', 'Kochi Tuskers Kerala cricket', 'Melbourne Stars cricket', 'Durham cricket', 'Australia A cricket', 'Australia cricket', 'New South Wales Under-19s cricket', 'New South Wales Under-17s cricket', 'Quetta Gladiators cricket', 'New South Wales Second XI cricket', 'Victoria cricket']"
012a5953,['Oman cricket']
012bd3f6,['Maldives Women cricket']
01341439,['Papua New Guinea Under-19s Women cricket']
01396dc6,['Bahrain Women cricket']
01404b98,['Japan Women cricket']
014cfac4,"['Southern Vipers cricket', 'Southern Brave (Women) cricket']"
01549705,['Northerns Under-15s cricket']
0155b6a3,"['Hampshire cricket', 'Guernsey cricket']"
01561e94,['Middlesex 2nd XI cricket']
0159383b,['Austria Women cricket']
015ca83a,['Romania Women cricket']
015dc0cd,['Czech Republic cricket']
0160b1d9,['Central Districts Women cricket']
016188b4,"['New South Wales XI cricket', 'Sydney Thunder cricket']"
0162e9c5,"['Worcestershire 2nd XI cricket', 'Worcestershire Academy cricket', 'Worcestershire Under-13s cricket', 'England Under-19s cricket', 'Worcestershire Under-15s cricket', 'Worcestershire Under-14s cricket', 'Herefordshire cricket', 'Worcestershire Under-17s cricket']"
0164b064,"['Brisbane Heat cricket', 'Adelaide Strikers cricket', 'Kings XI Punjab cricket', 'Australia cricket', 'Gold Coast cricket', 'Queensland Academy of Sport cricket', 'Glamorgan cricket', 'Queensland cricket']"
01679383,['Cameroon cricket']
01698fee,['Gauteng cricket']
016e5101,"['Dolphins cricket', 'Western Province cricket', 'South Africa cricket', 'South Africa Under-19s cricket', 'KwaZulu-Natal cricket', 'South Western Districts cricket', 'Cape Cobras cricket', 'South Africa A cricket']"
016f6267,['Indonesia Women cricket']
017cadb2,['Uganda Women cricket']
017e2f0d,"['Goa cricket', 'Mangalore United cricket', 'South Zone cricket']"
017faef2,"['Namibia Under-19s cricket', 'Namibia cricket']"
01815edc,['Italy Women cricket']
0184dc35,"['India cricket', 'Marylebone Cricket Club cricket', 'Rajasthan Royals cricket', 'Scotland cricket', 'Canterbury cricket', 'ICC World XI cricket', 'Royal Challengers Bangalore cricket', 'Asia XI cricket', 'Kent cricket', 'Karnataka cricket']"
018f6488,['Gibraltar cricket']
019ca34a,"['Bahawalpur Royals cricket', 'Lahore Qalandars cricket']"
019e740a,['Malta cricket']
019e7a95,['Mozambique cricket']
01a95383,"['Gloucestershire cricket', 'Oxfordshire cricket', 'Gloucestershire 2nd XI cricket']"
01ab4d37,['Malaysian Armed Forces cricket']
01ac7f7c,['Indonesia Under-19s Women cricket']
01ada0ed,"['Gujarat Under-19s cricket', 'West Zone cricket', 'Gujarat Under-16s cricket', 'Gujarat cricket', 'Gujarat Under-22s cricket']"
01b45044,[]
01c05b6c,['Gibraltar cricket']
01c1b96c,['Uganda Women cricket']
01d5f279,"['Bermuda cricket', 'Bermuda Under-15s cricket', 'Bermuda Under-19s cricket']"
01dbf7cf,"['Bangladesh Under-19s cricket', 'Old DOHS Sports Club cricket', 'Rangpur Division cricket', 'Gazi Group Chattogram cricket', 'Rangpur Rangers cricket']"
01dc3ec0,"['Knights cricket', 'South Africa Academy cricket', 'Free State Under-19s cricket', 'Free State cricket']"
01f857ae,"['Durham 2nd XI cricket', 'Durham cricket', 'England Under-19s cricket']"
01fa12c1,['Uganda Women cricket']
01fcf20f,"['Cheshire Women cricket', 'England Women cricket', 'Lancashire Women cricket']"
0207451a,['Ghana Women cricket']
0207ff32,"['Dorset cricket', 'Hampshire cricket', 'London Spirit (Men) cricket', 'Hampshire 2nd XI cricket', 'England Under-19s cricket']"
020e49e9,['Spain cricket']
020f0699,"['B-Love Kandy cricket', 'Kandy Falcons cricket', 'Dambulla Aura cricket', 'Tamil Union Cricket and Athletic Club cricket']"
020f24d6,['Philippines cricket']
020f474b,['United States of America Women cricket']
02181d9a,"['Manchester Originals (Women) cricket', 'Super 3s Team A cricket', 'Thunder cricket', 'Lancashire Women cricket', 'England Women cricket']"
021b4be9,['Mozambique Women cricket']
02264be0,['Kuwait Women cricket']
0226b73a,"['United Arab Emirates cricket', ""UAE Men's 1 cricket"", 'Lahore Eagles cricket', 'Lahore Ravi cricket']"
022745d5,[]
023c40b8,['China cricket']
023f6b02,['Hong Kong cricket']
024a173d,[]
024aece0,['Philippines cricket']
024fe464,[]
0251a22f,"['Pakistan Under-19s cricket', 'Quetta Gladiators cricket']"
025a092b,"['Essex cricket', 'Loughborough Marylebone Cricket Club University (England) cricket', 'England Lions cricket', 'Middlesex cricket', 'Middlesex 2nd XI cricket']"
025c4400,"['Rajasthan cricket', 'Gujarat Titans cricket', 'India Under-19s cricket', 'Rest of India cricket', 'India A cricket']"
025f79d1,['Finland cricket']
02610bad,['Namibia Women cricket']
026135b1,"['Yorkshire Women cricket', 'Northern Superchargers (Women) cricket', 'Northern Diamonds cricket']"
02635912,"['South Western Districts cricket', 'Eastern Province Under-17s cricket', 'Warriors cricket']"
0264c10e,"['Rajasthan Royals cricket', 'Leicestershire 2nd XI cricket', 'Mumbai cricket', 'Mumbai Cricket Association XI cricket', 'Cricket Star XI cricket']"
026b815f,['Rwanda Women Under-19s cricket']
026e1314,['Hungary cricket']
027662be,['Israel cricket']
02789d88,"['Khulna Tigers cricket', 'Bangladesh Under-19s cricket', 'Bangladesh Cricket Board XI cricket', 'Mohammedan Sporting Club cricket', 'Rangpur Riders cricket', 'Minister Group Dhaka cricket', 'Bangladesh Cricket Board Academy cricket', 'Bangladesh cricket', 'Central Zone (Bangladesh) cricket', 'Dhaka Division cricket', 'Gazi Group Chattogram cricket', 'Sylhet Strikers cricket', 'Dhaka Metropolis cricket', 'Bangladesh A cricket']"
0286eabe,['Tanzania Women cricket']
02888e6b,[]
02888f23,['Philippines cricket']
02923e7a,"['Australia Women cricket', 'Queensland Women cricket']"
029c4618,"['Brisbane Heat cricket', 'Tasmania Under-23s cricket', 'Tasmania cricket', 'Victoria Second XI cricket', 'Sydney Thunder cricket', 'Victoria cricket']"
02a6cb16,"['Bermuda cricket', 'Bermuda Under-15s cricket']"
02b078b1,['Luxembourg cricket']
02b25ee4,['Tripura cricket']
02b87bde,['Croatia cricket']
02b93a83,"['Durham 2nd XI cricket', 'Durham cricket', 'Northumberland cricket', 'Durham Academy cricket', 'Durham Under-17s cricket']"
02ba80a0,"['Melbourne Stars cricket', 'Cricket Australia XI cricket', 'Melbourne Renegades cricket', 'Australia Under-19s cricket']"
02bce9a8,"['Ireland cricket', 'Melbourne Stars cricket', 'New South Wales cricket', 'Australian Capital Territory cricket', 'New South Wales Under-23s cricket']"
