player_id,teams
00015688,['Sierra Leone']
00029c30,['Malawi']
0019ca13,['South Korea']
0030a57d,['Vanuatu']
00321fff,['Hong Kong']
00335246,['Tripura']
003d49e6,"['Queensland, Brisbane Heat, Adelaide Strikers, Hobart Hurricanes, Australia']"
003dbe99,"['Lincolnshire, Nottinghamshire, Nottinghamshire 2nd XI']"
003e7738,"['Kalabagan Cricket Academy, Sylhet Division, Sylhet Royals']"
003fe1d7,['Haryana']
00467a76,['Gibraltar']
004c9e85,"['Middlesex, Mumbai Indians, Hampshire, East Torrens, Western Suburbs, New South Wales, Worcestershire, South Australia, Australia']"
00547789,"['West Indies, Trinidad & Tobago, Trinbago Knight Riders']"
005f0561,['Bangladesh']
007113d7,['Denmark']
00741bc7,"['KwaZulu-Natal, Cape Cobras, Boland']"
00755e00,['Fiji']
00757ae7,['Thailand']
0075a47b,['Essex']
0077eaa3,"['St Lucia Zouks, Windward Islands, Jamaica Tallawahs']"
00784913,"['Rest of India, Karnataka, North West Warriors']"
0079f139,['Singapore']
007a3773,['Indonesia']
007f121f,['Jersey']
00823a96,"['Scotland, Loughborough Lightning, Trent Rockets, Birmingham Phoenix, Lightning, England']"
00852db7,['Uttarakhand']
008589a4,['Scotland']
0085a7ce,"['New Zealand, Central Districts']"
00863408,"['Central Districts, Cook Islands']"
008a024c,['']
0095a0e3,['Samoa']
0095ce38,"['Western Australia, New South Wales, Perth Scorchers, Adelaide Strikers']"
00b195ae,"['Manchester Originals (Men), England, Lancashire, Lancashire 2nd XI']"
00b8db02,['United Arab Emirates']
00bcd434,['Uttarakhand']
00be46fe,['Norway']
00c98c78,['Bahamas']
00cada13,"['Nottinghamshire, Nottinghamshire 2nd XI']"
00cc480b,['Gibraltar']
00cda8e4,"['Melbourne Stars, Victoria Second XI']"
00cff9ba,"['Gujarat Giants, Baroda']"
00d1544c,['Gibraltar']
00d69fa4,"['Southern Rocks, Border, University of West Indies Vice Chancellor's XI, Swamibapa Sports Club, Rwenzori Warriors, Kenya, Africa XI']"
00ea847a,"['Rest of India, Shamanoor Davangere Diamonds, Chemplast, India Blue, Madras Cricket Club, South Zone, India, Indian Board President's XI, Royal Challengers Bangalore, Kings XI Punjab, Sunrisers Hyderabad, India B, Belagavi Panthers, India Red, Karnataka, Bellary Tuskers, Bengaluru Blasters, India C, Karnataka State Cricket Association Colts XI, Rising Pune Supergiant, Delhi Daredevils']"
00ea9791,"['Nondescripts Cricket Club, Sri Lanka']"
00eefafc,['Bangladesh']
010658fc,['Croatia']
01127aa9,['Cayman Islands']
011533e5,['Thunder']
011b7b59,['Japan']
011f6b42,"['Rwenzori Warriors, Uganda']"
0126ff20,"['Worcestershire, Cheshire, Lancashire 2nd XI']"
012829ff,"['New South Wales Second XI, Kochi Tuskers Kerala, Melbourne Stars, Durham, Kolkata Knight Riders, New South Wales, Victoria, Quetta Gladiators, Australia, Chennai Super Kings']"
012a5953,['Oman']
012bd3f6,['Maldives']
01341439,['Papua New Guinea']
01396dc6,['Bahrain']
01404b98,['Japan']
014cfac4,"['Southern Vipers, Southern Brave']"
01549705,['Northerns']
0155b6a3,"['Hampshire, Guernsey']"
01561e94,['Middlesex 2nd XI']
0159383b,['Austria']
015ca83a,['Romania']
015dc0cd,['Czech Republic']
0160b1d9,['Central Districts']
016188b4,"['Sydney Thunder, New South Wales XI']"
0162e9c5,"['Worcestershire Academy, Worcestershire 2nd XI, Herefordshire, Worcestershire, England']"
0164b064,"['Queensland, Queensland Academy of Sport, Gold Coast, Brisbane Heat, Kings XI Punjab, Adelaide Strikers, Glamorgan, Australia']"
01679383,['Cameroon']
01698fee,['Gauteng']
016e5101,"['Western Province, KwaZulu-Natal, Cape Cobras, South Western Districts, South Africa, Dolphins']"
016f6267,['Indonesia']
017cadb2,['Uganda']
017e2f0d,"['Goa, South Zone, Mangalore United']"
017faef2,['Namibia']
01815edc,['Italy']
0184dc35,"['Scotland, India, Karnataka, Rajasthan Royals, Royal Challengers Bangalore, Asia XI, Kent, Canterbury, ICC World XI, Marylebone Cricket Club']"
018f6488,['Gibraltar']
019ca34a,"['Bahawalpur Royals, Lahore Qalandars']"
019e740a,['Malta']
019e7a95,['Mozambique']
01a95383,"['Oxfordshire, Gloucestershire, Gloucestershire 2nd XI']"
01ab4d37,['Malaysian Armed Forces']
01ac7f7c,['Indonesia']
01ada0ed,"['West Zone, Gujarat']"
01b45044,['']
01c05b6c,['Gibraltar']
01c1b96c,['Uganda']
01d5f279,['Bermuda']
01dbf7cf,"['Gazi Group Chattogram, Bangladesh, Old DOHS Sports Club, Rangpur Rangers, Rangpur Division']"
01dc3ec0,"['Knights, South Africa Academy, Free State']"
01f857ae,"['Durham 2nd XI, England, Durham']"
01fa12c1,['Uganda']
01fcf20f,"['Cheshire, England, Lancashire']"
0207451a,['Ghana']
0207ff32,"['Hampshire, Dorset, Hampshire 2nd XI, London Spirit (Men), England']"
020e49e9,['Spain']
020f0699,"['B-Love Kandy, Dambulla Aura, Tamil Union Cricket and Athletic Club, Kandy Falcons']"
020f24d6,['Philippines']
020f474b,['United States of America']
02181d9a,"['Manchester Originals, Lancashire, Super 3s Team, Thunder, England']"
021b4be9,['Mozambique']
02264be0,['Kuwait']
0226b73a,"['UAE Men's 1, Lahore Eagles, Lahore Ravi, United Arab Emirates']"
022745d5,['']
023c40b8,['China']
023f6b02,['Hong Kong']
024a173d,['']
024aece0,['Philippines']
024fe464,['']
0251a22f,"['Pakistan, Quetta Gladiators']"
025a092b,"['Middlesex, Essex, Middlesex 2nd XI, Loughborough Marylebone Cricket Club University (England), England Lions']"
025c4400,"['Rajasthan, India, Rest of India, Gujarat Titans']"
025f79d1,['Finland']
02610bad,['Namibia']
026135b1,"['Northern Superchargers, Yorkshire, Northern Diamonds']"
02635912,"['Eastern Province, Warriors, South Western Districts']"
0264c10e,"['Cricket Star XI, Mumbai Cricket Association XI, Rajasthan Royals, Leicestershire 2nd XI, Mumbai']"
026b815f,['Rwanda']
026e1314,['Hungary']
027662be,['Israel']
02789d88,"['Gazi Group Chattogram, Central Zone (Bangladesh), Rangpur Riders, Bangladesh, Sylhet Strikers, Khulna Tigers, Minister Group Dhaka, Dhaka Metropolis, Mohammedan Sporting Club, Dhaka Division, Bangladesh Cricket Board XI, Bangladesh Cricket Board Academy']"
0286eabe,['Tanzania']
02888e6b,['']
02888f23,['Philippines']
02923e7a,"['Queensland, Australia']"
029c4618,"['Tasmania, Sydney Thunder, Brisbane Heat, Victoria Second XI, Victoria']"
02a6cb16,['Bermuda']
02b078b1,['Luxembourg']
02b25ee4,['Tripura']
02b87bde,['Croatia']
02b93a83,"['Northumberland, Durham 2nd XI, Durham Academy, Durham']"
02ba80a0,"['Melbourne Renegades, Melbourne Stars, Cricket Australia XI, Australia']"
02bce9a8,"['Ireland, New South Wales, Melbourne Stars, Australian Capital Territory']"
02c3024c,['Gambia']
02c8fbfc,['Croatia']
02d0c9ae,['Spain']
02d11602,['Belize']
02df7b37,['Portugal']
02e58a32,['Nepal']
02e712ce,['Zimbabwe']
02e831e0,"['Southern Stars, Kenya']"
02e83ac5,"['Bangladesh, North Zone (Bangladesh), Chittagong Kings, Rajshahi Division, Chattogram Challengers, Rangpur Division']"
02f4b99c,['Air India']
02fa5417,['Luxembourg']
02fdf3ca,['']
030a38e0,['France']
030c39f1,['Luxembourg']
030f3089,"['India Emerging Team, Rajasthan Royals']"
0311d9ec,['China']
031b389c,"['India, Goa, India Blue, Royal Challengers Bangalore']"
03252e44,"['Yorkshire, Northamptonshire, New South Wales, Worcestershire, Australia']"
032c7eab,['Hungary XI']
032e4384,"['Eastern Province, Lions']"
0331c99a,['Sweden']
03355ca8,['Belgium']
033ac24e,['Malaysia']
